Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99,TTFT_Avg,TTFT_P50,TTFT_P90,TTFT_P99,ITL_Avg,ITL_P50,ITL_P90,ITL_P99
meta-llama/Meta-Llama-3-8B,1,1,1,1.0,1.0,1.0,0.07278429666666668,0.062484,0.0923652,0.15795426,0.06959079,0.062484,0.085681,0.10852243999999961,0.03833341333333333,0.033814,0.051488,0.08206118999999995,0.011483866666666665,0.009557,0.016689,0.024187419999999935
meta-llama/Meta-Llama-3-8B,1,2,1,1.0,2.0,1.0,0.057091633333333336,0.051494,0.06867960000000001,0.09906256999999996,0.054762743333333315,0.051494,0.064921,0.09319969999999998,0.02776388,0.024805,0.03753010000000001,0.04975433999999998,0.009776366666666668,0.008897,0.013353,0.01781521
meta-llama/Meta-Llama-3-8B,1,4,1,1.0,4.0,1.0,0.043370726666666665,0.04023,0.051164,0.06701009,0.04208660333333333,0.04023,0.051147,0.062084,0.021026486666666663,0.019417,0.026347000000000002,0.03862372,0.007448316666666666,0.006938,0.010577,0.010593
meta-llama/Meta-Llama-3-8B,1,8,1,1.0,8.0,1.0,0.034506606666666675,0.032928,0.040063,0.04945748999999999,0.03376009000000001,0.032928,0.034846,0.041984,0.015366523333333331,0.014454,0.018489600000000002,0.027319119999999995,0.00638008,0.006158,0.006159,0.008538
meta-llama/Meta-Llama-3-8B,2,1,1,2.0,1.0,1.0,0.06335298,0.062484,0.062484,0.083887,0.06302689666666667,0.062484,0.062484,0.083887,0.034184983333333335,0.033814,0.033814,0.04491180999999997,0.00972299333333333,0.009557,0.009557,0.01666823
meta-llama/Meta-Llama-3-8B,2,2,1,2.0,2.0,1.0,0.05182087999999999,0.051494,0.051494,0.06486556,0.051698879999999996,0.051494,0.051494,0.06486556,0.02495321,0.024805,0.024805,0.031532569999999996,0.00895654,0.008897,0.008897,0.013353190000000001
meta-llama/Meta-Llama-3-8B,2,4,1,2.0,4.0,1.0,0.04038803666666666,0.04023,0.04023,0.047107799999999964,0.040315486666666664,0.04023,0.04023,0.042136,0.019502263333333332,0.019417,0.019417,0.021831099999999982,0.00696226,0.006938,0.006938,0.006938
meta-llama/Meta-Llama-3-8B,4,1,1,4.0,1.0,1.0,0.062484000000000005,0.062484,0.062484,0.062484,0.062484000000000005,0.062484,0.062484,0.062484,0.033814000000000004,0.033814,0.033814,0.033814,0.009556999999999998,0.009557,0.009557,0.009557
meta-llama/Meta-Llama-3-8B,4,2,1,4.0,2.0,1.0,0.05149399999999999,0.051494,0.051494,0.051494,0.05149399999999999,0.051494,0.051494,0.051494,0.024804999999999997,0.024805,0.024805,0.024805,0.008897,0.008897,0.008897,0.008897
meta-llama/Meta-Llama-3-8B,8,1,1,8.0,1.0,1.0,0.062484000000000005,0.062484,0.062484,0.062484,0.062484000000000005,0.062484,0.062484,0.062484,0.033814000000000004,0.033814,0.033814,0.033814,0.009556999999999998,0.009557,0.009557,0.009557
